URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/CodeSystem/iana-link-relations,5.0.0,active,,LinkRelationTypes,Link Relation Types,"Link Relation Types defined at https://www.iana.org/assignments/link-relations/link-relations.xhtml#link-relations-1","ValueSet/iana-link-relations"
http://hl7.org/fhir/bundle-type,5.0.0,active,"2.16.840.1.113883.4.642.2.327,2.16.840.1.113883.4.642.1.613,2.16.840.1.113883.4.642.4.621",BundleType,Bundle Type,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/http-verb,5.0.0,active,"2.16.840.1.113883.4.642.4.625,2.16.840.1.113883.4.642.2.329,2.16.840.1.113883.4.642.1.617",HTTPVerb,H T T P Verb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/http-verb"
http://hl7.org/fhir/publication-status,5.0.0,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/search-entry-mode,5.0.0,active,"2.16.840.1.113883.4.642.1.615,2.16.840.1.113883.4.642.2.328,2.16.840.1.113883.4.642.4.623",SearchEntryMode,Search Entry Mode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","ValueSet/search-entry-mode"
http://hl7.org/fhir/testscript-scope-phase-codes,5.0.0,active,"2.16.840.1.113883.4.642.4.1950",TestScriptScopePhaseType,Test Script Scope Phase Type,"The phase of testing for this artifact.","ValueSet/testscript-scope-phase-codes"
http://hl7.org/fhir/version-algorithm,5.0.0,active,"2.16.840.1.113883.4.642.4.1989",VersionAlgorithm,Version Algorithm,"Indicates the mechanism used to compare versions to determine which is more current.","ValueSet/version-algorithm"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages,ValueSet/all-languages"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions â€” Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/jurisdiction"
urn:iso:std:iso:3166:-2,2013-11,retired,"1.0.3166.2",Iso3166_2,ISO 3166 Part 2 Country Subdivision Codes,"Identifies the coding system published in the ISO 3166-2 Standard for Country Subdivision codes. This standard is released periodically, and a new OID will be assigned by ISO for new editions.","ValueSet/jurisdiction"
